order_id,order_date,settlement_date,player_id,title_id,platform_code,order_status,gross_usd,platform_fee_usd,net_usd
ORD-0000031,2024-10-03,2024-11-02,P-030820,T-04,STEAM,completed,30.0341,9.0102,21.0238
ORD-0000032,2024-10-03,2024-12-02,P-040612,T-04,NSW,completed,40.0391,12.0117,28.0274
ORD-0000033,2024-10-03,2024-11-17,P-030103,T-04,PSN,completed,45.5366,13.661,31.8756
ORD-0000034,2024-10-03,2024-11-17,P-029059,T-04,XBOX,completed,30.0301,9.009,21.021
ORD-0000035,2024-10-03,2024-12-02,P-003503,T-04,NSW,completed,20.0,6.0,14.0
ORD-0000036,2024-10-03,2024-11-17,P-021641,T-04,PSN,completed,40.5416,12.1625,28.3791
ORD-0000037,2024-10-03,2024-11-17,P-020041,T-04,PSN,completed,40.03,12.009,28.021
ORD-0000038,2024-10-03,2024-11-02,P-038719,T-04,EPIC,completed,30.0301,3.6036,26.4265
ORD-0000039,2024-10-03,2024-11-02,P-037605,T-04,EPIC,completed,10.0025,1.2003,8.8022
ORD-0000040,2024-10-03,2024-11-02,P-023066,T-04,STEAM,completed,30.0301,9.009,21.021
ORD-0000041,2024-10-03,2024-11-17,P-003405,T-04,PSN,completed,10.5115,3.1535,7.3581
ORD-0000042,2024-10-03,2024-11-17,P-000276,T-04,PSN,completed,30.0301,9.009,21.021
ORD-0000043,2024-10-03,2024-12-02,P-015132,T-04,NSW,completed,5.0041,1.5012,3.5028
ORD-0000044,2024-10-03,2024-11-17,P-026065,T-04,PSN,completed,15.0029,4.5009,10.5021
ORD-0000045,2024-10-03,2024-11-02,P-027628,T-04,EPIC,completed,45.037,5.4044,39.6326
ORD-0000046,2024-10-03,2024-11-02,P-029901,T-04,STEAM,completed,64.8331,19.4499,45.3832
ORD-0000047,2024-10-03,2024-11-17,P-024305,T-04,PSN,completed,40.5933,12.178,28.4153
ORD-0000048,2024-10-03,2024-11-02,P-042343,T-04,STEAM,refunded,30.0301,9.009,21.021
ORD-0000049,2024-10-03,2024-11-02,P-001470,T-04,EPIC,refunded,4.995,0.5994,4.3956
ORD-0000050,2024-10-03,2024-11-17,P-041122,T-04,PSN,completed,40.03,12.009,28.021
ORD-0000051,2024-10-03,2024-11-17,P-031583,T-04,XBOX,completed,10.0189,3.0057,7.0132
ORD-0000052,2024-10-03,2024-11-02,P-009691,T-04,STEAM,refunded,9.99,2.997,6.993
ORD-0000053,2024-10-03,2024-11-02,P-025046,T-04,STEAM,completed,4.995,1.4985,3.4965
ORD-0000054,2024-10-04,2024-11-03,P-034728,T-04,STEAM,completed,30.0892,9.0268,21.0624
ORD-0000055,2024-10-04,2024-11-03,P-035926,T-04,STEAM,completed,40.3859,12.1158,28.2701
ORD-0000056,2024-10-04,2024-11-18,P-001111,T-04,PSN,completed,10.4712,3.1413,7.3298
ORD-0000057,2024-10-04,2024-11-03,P-014090,T-04,STEAM,completed,29.9147,8.9744,20.9403
ORD-0000058,2024-10-04,2024-11-03,P-034388,T-04,STEAM,completed,9.9832,2.995,6.9882
ORD-0000059,2024-10-04,2024-11-18,P-043339,T-04,XBOX,completed,40.0144,12.0043,28.0101
ORD-0000060,2024-10-04,2024-11-03,P-042473,T-04,STEAM,completed,9.9901,2.997,6.9931
ORD-0000061,2024-10-04,2024-11-18,P-016819,T-04,PSN,completed,40.4615,12.1385,28.3231
ORD-0000062,2024-10-04,2024-11-18,P-041634,T-04,PSN,completed,30.0135,9.004,21.0094
ORD-0000063,2024-10-04,2024-11-03,P-031111,T-04,EPIC,completed,40.4615,4.8554,35.6061
ORD-0000064,2024-10-04,2024-11-18,P-008474,T-04,PSN,completed,30.0311,9.0093,21.0218
ORD-0000065,2024-10-04,2024-11-18,P-044674,T-04,PSN,completed,9.9975,2.9993,6.9983
ORD-0000066,2024-10-04,2024-11-18,P-010960,T-04,XBOX,completed,20.4327,6.1298,14.3029
ORD-0000067,2024-10-04,2024-11-03,P-022378,T-04,STEAM,completed,35.0085,10.5026,24.506
ORD-0000068,2024-10-04,2024-11-18,P-017458,T-04,PSN,completed,30.0311,9.0093,21.0218
ORD-0000069,2024-10-04,2024-11-03,P-026195,T-04,STEAM,completed,20.5097,6.1529,14.3568
ORD-0000070,2024-10-04,2024-11-03,P-015731,T-04,STEAM,completed,29.9684,8.9905,20.9779
ORD-0000071,2024-10-04,2024-11-03,P-043451,T-04,STEAM,completed,10.5069,3.1521,7.3548
ORD-0000072,2024-10-04,2024-12-03,P-041417,T-04,NSW,completed,30.0135,9.004,21.0094
ORD-0000073,2024-10-04,2024-11-03,P-022321,T-04,STEAM,completed,10.4712,3.1413,7.3298
ORD-0000074,2024-10-04,2024-11-18,P-034517,T-04,XBOX,completed,35.0085,10.5026,24.506
ORD-0000075,2024-10-04,2024-11-18,P-033600,T-04,PSN,completed,4.9758,1.4927,3.4831
ORD-0000076,2024-10-04,2024-11-03,P-024141,T-04,STEAM,completed,30.0135,9.004,21.0094
ORD-0000077,2024-10-04,2024-11-03,P-022179,T-04,STEAM,completed,10.0009,3.0003,7.0006
ORD-0000078,2024-10-04,2024-11-03,P-015157,T-04,STEAM,completed,15.447,4.6341,10.8129
ORD-0000079,2024-10-04,2024-11-18,P-025186,T-04,XBOX,completed,40.3859,12.1158,28.2701
ORD-0000080,2024-10-04,2024-11-03,P-007938,T-04,STEAM,completed,60.1784,18.0535,42.1249
ORD-0000081,2024-10-04,2024-11-18,P-017902,T-04,XBOX,completed,30.0311,9.0093,21.0218
ORD-0000082,2024-10-04,2024-11-03,P-043615,T-04,EPIC,completed,10.0009,1.2001,8.8008
ORD-0000083,2024-10-04,2024-11-03,P-034750,T-04,STEAM,refunded,29.9684,8.9905,20.9779
ORD-0000084,2024-10-04,2024-11-03,P-013722,T-04,STEAM,completed,29.9147,8.9744,20.9403
ORD-0000085,2024-10-04,2024-11-18,P-030745,T-04,PSN,completed,10.4712,3.1413,7.3298
ORD-0000086,2024-10-04,2024-11-03,P-036726,T-04,EPIC,completed,9.9832,1.198,8.7852
ORD-0000087,2024-10-04,2024-11-03,P-009672,T-04,STEAM,completed,29.9684,8.9905,20.9779
ORD-0000088,2024-10-04,2024-11-18,P-040090,T-04,PSN,completed,5.0065,1.502,3.5046
ORD-0000089,2024-10-04,2024-12-03,P-007666,T-04,NSW,completed,15.5412,4.6624,10.8789
ORD-0000090,2024-10-04,2024-11-03,P-022937,T-04,STEAM,completed,20.467,6.1401,14.3269
ORD-0000091,2024-10-04,2024-11-18,P-000740,T-04,PSN,completed,4.9758,1.4927,3.4831
ORD-0000092,2024-10-04,2024-11-03,P-032909,T-04,STEAM,completed,35.0085,10.5026,24.506
ORD-0000093,2024-10-04,2024-11-18,P-031253,T-04,XBOX,completed,39.8763,11.9629,27.9134
ORD-0000094,2024-10-04,2024-11-18,P-015697,T-04,PSN,completed,70.0171,21.0051,49.0119
ORD-0000095,2024-10-04,2024-11-03,P-023893,T-04,STEAM,completed,15.0296,4.5089,10.5207
ORD-0000096,2024-10-04,2024-11-03,P-022298,T-04,STEAM,completed,14.9898,4.497,10.4929
ORD-0000097,2024-10-04,2024-11-03,P-005423,T-04,STEAM,completed,10.4712,3.1413,7.3298
ORD-0000098,2024-10-04,2024-11-03,P-020220,T-04,STEAM,completed,34.8905,10.4672,24.4234
ORD-0000099,2024-10-04,2024-11-18,P-034409,T-04,XBOX,completed,4.9758,1.4927,3.4831
ORD-0000100,2024-10-04,2024-11-03,P-030374,T-04,STEAM,completed,4.9758,1.4927,3.4831
ORD-0000101,2024-10-04,2024-11-03,P-013226,T-04,EPIC,completed,45.3617,5.4434,39.9183
ORD-0000102,2024-10-04,2024-11-18,P-001946,T-04,XBOX,completed,4.9951,1.4985,3.4965
ORD-0000103,2024-10-05,2024-11-19,P-030756,T-04,PSN,completed,4.9758,1.4927,3.4831
ORD-0000104,2024-10-05,2024-11-19,P-007340,T-04,XBOX,completed,9.9516,2.9855,6.9661
ORD-0000105,2024-10-05,2024-11-04,P-034736,T-04,STEAM,completed,10.4931,3.1479,7.3452
ORD-0000106,2024-10-05,2024-12-04,P-034874,T-04,NSW,completed,29.9147,8.9744,20.9403
ORD-0000107,2024-10-05,2024-11-19,P-022363,T-04,XBOX,completed,35.0085,10.5026,24.506
ORD-0000108,2024-10-05,2024-11-04,P-041347,T-04,STEAM,completed,15.4801,4.644,10.836
ORD-0000109,2024-10-05,2024-11-04,P-004142,T-04,STEAM,completed,29.9147,8.9744,20.9403
ORD-0000110,2024-10-05,2024-11-04,P-039346,T-04,EPIC,refunded,34.9553,4.1946,30.7606
ORD-0000111,2024-10-05,2024-11-19,P-013541,T-04,PSN,completed,29.9684,8.9905,20.9779
ORD-0000112,2024-10-05,2024-11-19,P-017324,T-04,PSN,completed,9.9616,2.9885,6.9731
ORD-0000113,2024-10-05,2024-12-04,P-007421,T-04,NSW,completed,59.8295,17.9488,41.8806
ORD-0000114,2024-10-05,2024-11-19,P-035235,T-04,XBOX,completed,20.5578,6.1673,14.3904
ORD-0000115,2024-10-05,2024-12-04,P-035990,T-04,NSW,completed,10.4931,3.1479,7.3452
ORD-0000116,2024-10-05,2024-11-19,P-033497,T-04,PSN,completed,10.4712,3.1413,7.3298
ORD-0000117,2024-10-05,2024-11-04,P-034489,T-04,STEAM,completed,10.4712,3.1413,7.3298
ORD-0000118,2024-10-05,2024-11-19,P-022290,T-04,PSN,completed,29.9147,8.9744,20.9403
ORD-0000119,2024-10-05,2024-11-19,P-027044,T-04,PSN,completed,39.8663,11.9599,27.9064
ORD-0000120,2024-10-05,2024-11-19,P-031951,T-04,XBOX,completed,9.9975,2.9993,6.9983
ORD-0000121,2024-10-05,2024-11-04,P-044424,T-04,STEAM,completed,19.957,5.9871,13.9699
ORD-0000123,2024-10-05,2024-11-19,P-034676,T-04,PSN,completed,9.9616,2.9885,6.9731
ORD-0000124,2024-10-05,2024-11-19,P-018799,T-04,XBOX,completed,10.4931,3.1479,7.3452
ORD-0000125,2024-10-05,2024-11-19,P-037682,T-04,PSN,completed,4.9923,1.4977,3.4946
ORD-0000126,2024-10-05,2024-11-04,P-011298,T-04,STEAM,completed,30.0892,9.0268,21.0624
ORD-0000127,2024-10-05,2024-11-19,P-025893,T-04,PSN,completed,29.9147,8.9744,20.9403
ORD-0000128,2024-10-05,2024-11-04,P-043697,T-04,STEAM,completed,10.013,3.0039,7.0091
ORD-0000129,2024-10-05,2024-11-04,P-036709,T-04,STEAM,completed,4.9758,1.4927,3.4831
ORD-0000130,2024-10-05,2024-11-19,P-033946,T-04,PSN,refunded,4.9758,1.4927,3.4831
ORD-0000131,2024-10-05,2024-11-19,P-029104,T-04,PSN,completed,10.4931,3.1479,7.3452
ORD-0000132,2024-10-05,2024-11-04,P-027836,T-04,STEAM,completed,10.4712,3.1413,7.3298
ORD-0000133,2024-10-05,2024-11-19,P-038669,T-04,XBOX,completed,59.8295,17.9488,41.8806
ORD-0000134,2024-10-05,2024-11-04,P-014898,T-04,STEAM,completed,39.9516,11.9855,27.9661
ORD-0000135,2024-10-05,2024-11-04,P-030465,T-04,STEAM,completed,10.023,3.0069,7.0161
ORD-0000136,2024-10-05,2024-11-19,P-037011,T-04,XBOX,completed,10.5347,3.1604,7.3743
ORD-0000137,2024-10-05,2024-11-19,P-041219,T-04,PSN,refunded,40.1123,12.0337,28.0786
ORD-0000138,2024-10-05,2024-11-19,P-008232,T-04,PSN,completed,45.4484,13.6345,31.8139
ORD-0000139,2024-10-05,2024-11-04,P-042879,T-04,STEAM,completed,29.9147,8.9744,20.9403
ORD-0000140,2024-10-05,2024-11-04,P-005835,T-04,STEAM,completed,60.0269,18.0081,42.0188
ORD-0000141,2024-10-05,2024-11-04,P-035442,T-04,EPIC,completed,10.4931,1.2592,9.234
ORD-0000142,2024-10-05,2024-12-04,P-033153,T-04,NSW,completed,4.9758,1.4927,3.4831
ORD-0000143,2024-10-05,2024-11-04,P-028372,T-04,STEAM,completed,4.9923,1.4977,3.4946
ORD-0000144,2024-10-05,2024-11-04,P-019725,T-04,STEAM,completed,29.9147,8.9744,20.9403
ORD-0000145,2024-10-05,2024-11-19,P-016410,T-04,PSN,completed,29.9684,8.9905,20.9779
ORD-0000146,2024-10-06,2024-12-05,P-017324,T-04,NSW,completed,20.4227,6.1268,14.2959
ORD-0000147,2024-10-06,2024-11-05,P-042068,T-04,STEAM,completed,29.9147,8.9744,20.9403
ORD-0000148,2024-10-06,2024-11-05,P-007416,T-04,STEAM,completed,9.9975,2.9993,6.9983
ORD-0000149,2024-10-06,2024-11-05,P-044597,T-04,STEAM,completed,4.9951,1.4985,3.4965
ORD-0000150,2024-10-06,2024-11-20,P-024462,T-04,XBOX,completed,30.0135,9.004,21.0094
ORD-0000151,2024-10-06,2024-11-05,P-016250,T-04,STEAM,completed,29.9147,8.9744,20.9403
ORD-0000152,2024-10-06,2024-11-05,P-000824,T-04,STEAM,refunded,20.9863,6.2959,14.6904
ORD-0000153,2024-10-06,2024-11-05,P-016053,T-04,STEAM,completed,34.9553,10.4866,24.4687
ORD-0000154,2024-10-06,2024-11-05,P-042145,T-04,STEAM,completed,14.9374,4.4812,10.4562
ORD-0000155,2024-10-06,2024-11-20,P-003003,T-04,XBOX,completed,4.9951,1.4985,3.4965
ORD-0000156,2024-10-06,2024-11-05,P-024856,T-04,STEAM,completed,30.0135,9.004,21.0094
ORD-0000157,2024-10-06,2024-11-05,P-044029,T-04,EPIC,completed,29.9147,3.5898,26.325
ORD-0000158,2024-10-06,2024-11-05,P-037676,T-04,STEAM,completed,40.3859,12.1158,28.2701
ORD-0000159,2024-10-06,2024-11-05,P-001512,T-04,STEAM,completed,10.023,3.0069,7.0161
ORD-0000160,2024-10-06,2024-11-20,P-012162,T-04,XBOX,completed,30.8939,9.2682,21.6257
ORD-0000161,2024-10-06,2024-11-05,P-004025,T-04,STEAM,completed,20.9423,6.2827,14.6596
ORD-0000162,2024-10-06,2024-11-20,P-015383,T-04,PSN,completed,20.5578,6.1673,14.3904
ORD-0000163,2024-10-06,2024-11-05,P-002546,T-04,STEAM,completed,29.9147,8.9744,20.9403
ORD-0000164,2024-10-06,2024-11-20,P-030779,T-04,XBOX,completed,30.0311,9.0093,21.0218
ORD-0000165,2024-10-06,2024-11-20,P-040097,T-04,XBOX,completed,10.023,3.0069,7.0161
ORD-0000166,2024-10-06,2024-11-05,P-023121,T-04,STEAM,completed,10.5069,3.1521,7.3548
ORD-0000167,2024-10-06,2024-11-05,P-028654,T-04,STEAM,completed,59.9367,17.981,41.9557
ORD-0000168,2024-10-06,2024-11-20,P-018058,T-04,XBOX,completed,30.0311,9.0093,21.0218
ORD-0000169,2024-10-06,2024-11-05,P-000856,T-04,EPIC,completed,10.013,1.2016,8.8115
ORD-0000170,2024-10-06,2024-11-05,P-021926,T-04,STEAM,completed,30.0135,9.004,21.0094
ORD-0000171,2024-10-07,2024-11-21,P-015430,T-04,PSN,completed,40.3238,12.0971,28.2267
ORD-0000172,2024-10-07,2024-12-06,P-036125,T-04,NSW,completed,30.0516,9.0155,21.0361
ORD-0000173,2024-10-07,2024-11-21,P-016129,T-04,XBOX,completed,9.9677,2.9903,6.9774
ORD-0000174,2024-10-07,2024-11-06,P-005339,T-04,STEAM,completed,4.9785,1.4935,3.4849
ORD-0000175,2024-10-07,2024-11-21,P-032014,T-04,PSN,completed,29.9138,8.9741,20.9397
ORD-0000176,2024-10-07,2024-11-21,P-027933,T-04,PSN,completed,15.4465,4.634,10.8126
ORD-0000177,2024-10-07,2024-11-21,P-033785,T-04,XBOX,completed,10.0015,3.0005,7.0011
ORD-0000178,2024-10-07,2024-11-21,P-030640,T-04,PSN,completed,9.9677,2.9903,6.9774
ORD-0000179,2024-10-07,2024-11-06,P-033347,T-04,STEAM,completed,9.9677,2.9903,6.9774
ORD-0000180,2024-10-07,2024-11-06,P-037652,T-04,STEAM,completed,19.9227,5.9768,13.9459
ORD-0000181,2024-10-07,2024-12-06,P-000258,T-04,NSW,completed,10.4709,3.1413,7.3296
ORD-0000182,2024-10-07,2024-11-06,P-029091,T-04,STEAM,completed,4.9757,1.4927,3.483
ORD-0000183,2024-10-07,2024-11-06,P-029059,T-04,STEAM,completed,29.914,8.9742,20.9398
ORD-0000184,2024-10-07,2024-11-21,P-019860,T-04,XBOX,completed,29.9138,8.9741,20.9397
ORD-0000185,2024-10-07,2024-11-21,P-008272,T-04,PSN,completed,10.4709,3.1413,7.3296
ORD-0000186,2024-10-07,2024-11-06,P-028545,T-04,STEAM,completed,10.4553,3.1366,7.3187
ORD-0000187,2024-10-07,2024-12-06,P-011216,T-04,NSW,completed,29.9138,8.9741,20.9397
ORD-0000188,2024-10-07,2024-11-21,P-032886,T-04,PSN,completed,9.9677,2.9903,6.9774
ORD-0000189,2024-10-07,2024-11-06,P-034140,T-04,STEAM,refunded,4.9757,1.4927,3.483
ORD-0000190,2024-10-07,2024-11-06,P-027877,T-04,STEAM,completed,10.472,3.1416,7.3304
ORD-0000191,2024-10-07,2024-11-06,P-036688,T-04,STEAM,completed,59.8276,17.9483,41.8793
ORD-0000192,2024-10-07,2024-11-21,P-009664,T-04,PSN,completed,40.5739,12.1722,28.4018
ORD-0000193,2024-10-07,2024-11-21,P-006200,T-04,PSN,completed,15.0431,4.5129,10.5302
ORD-0000194,2024-10-07,2024-11-06,P-019178,T-04,STEAM,completed,4.9757,1.4927,3.483
ORD-0000195,2024-10-07,2024-12-06,P-040110,T-04,NSW,completed,4.9757,1.4927,3.483
ORD-0000196,2024-10-07,2024-11-21,P-018583,T-04,PSN,completed,10.4709,3.1413,7.3296
ORD-0000197,2024-10-08,2024-11-07,P-003377,T-04,STEAM,completed,4.9753,1.4926,3.4827
ORD-0000198,2024-10-08,2024-11-22,P-010188,T-04,XBOX,completed,9.9965,2.999,6.9976
ORD-0000199,2024-10-08,2024-11-22,P-020781,T-04,XBOX,completed,21.1168,6.335,14.7818
ORD-0000200,2024-10-08,2024-11-07,P-044097,T-04,STEAM,completed,9.9865,2.996,6.9906
ORD-0000201,2024-10-08,2024-11-07,P-039157,T-04,STEAM,completed,30.0197,9.0059,21.0138
ORD-0000202,2024-10-08,2024-11-22,P-043965,T-04,XBOX,completed,9.9965,2.999,6.9976
ORD-0000203,2024-10-08,2024-11-07,P-038633,T-04,STEAM,completed,20.5044,6.1513,14.3531
ORD-0000204,2024-10-08,2024-11-07,P-036155,T-04,STEAM,completed,30.1471,9.0441,21.1029
ORD-0000205,2024-10-08,2024-11-07,P-018389,T-04,STEAM,completed,9.9613,2.9884,6.9729
ORD-0000206,2024-10-08,2024-11-22,P-027870,T-04,PSN,completed,29.8295,8.9488,20.8806
ORD-0000207,2024-10-08,2024-11-07,P-008981,T-04,STEAM,completed,9.9965,2.999,6.9976
ORD-0000208,2024-10-08,2024-11-22,P-038400,T-04,XBOX,completed,40.3598,12.1079,28.2519
ORD-0000209,2024-10-08,2024-11-22,P-034297,T-04,XBOX,completed,35.013,10.5039,24.5091
ORD-0000210,2024-10-08,2024-12-07,P-026057,T-04,NSW,completed,10.5079,3.1524,7.3555
ORD-0000211,2024-10-08,2024-11-22,P-002696,T-04,XBOX,completed,10.4416,3.1325,7.3091
ORD-0000212,2024-10-08,2024-11-22,P-021163,T-04,XBOX,completed,40.0162,12.0049,28.0114
ORD-0000213,2024-10-08,2024-11-07,P-000534,T-04,STEAM,completed,15.5762,4.6729,10.9033
ORD-0000214,2024-10-08,2024-11-07,P-012385,T-04,STEAM,completed,15.5012,4.6503,10.8508
ORD-0000215,2024-10-08,2024-11-22,P-027969,T-04,PSN,completed,59.7892,17.9367,41.8524
ORD-0000216,2024-10-08,2024-11-07,P-021476,T-04,STEAM,completed,35.013,10.5039,24.5091
ORD-0000217,2024-10-08,2024-11-22,P-005375,T-04,PSN,completed,40.0162,12.0049,28.0114
ORD-0000218,2024-10-08,2024-12-07,P-030155,T-04,NSW,completed,40.2024,12.0607,28.1417
ORD-0000219,2024-10-08,2024-11-07,P-004063,T-04,EPIC,completed,40.3598,4.8432,35.5166
ORD-0000220,2024-10-08,2024-11-22,P-035619,T-04,XBOX,completed,34.8699,10.461,24.4089
ORD-0000221,2024-10-08,2024-12-07,P-019654,T-04,NSW,completed,30.0197,9.0059,21.0138
ORD-0000222,2024-10-08,2024-11-07,P-014151,T-04,STEAM,completed,49.8064,14.9419,34.8645
ORD-0000223,2024-10-08,2024-11-22,P-042766,T-04,XBOX,completed,60.0394,18.0118,42.0276
ORD-0000224,2024-10-08,2024-12-07,P-006287,T-04,NSW,completed,40.271,12.0813,28.1897
ORD-0000225,2024-10-08,2024-12-07,P-000803,T-04,NSW,completed,9.9965,2.999,6.9976
ORD-0000226,2024-10-08,2024-11-22,P-039393,T-04,PSN,completed,30.1471,9.0441,21.1029
ORD-0000227,2024-10-09,2024-11-08,P-014363,T-04,STEAM,completed,40.0941,12.0282,28.0658
ORD-0000228,2024-10-09,2024-11-08,P-009159,T-04,STEAM,completed,29.7743,8.9323,20.842
ORD-0000229,2024-10-09,2024-11-08,P-011623,T-04,STEAM,completed,10.016,3.0048,7.0112
ORD-0000230,2024-10-09,2024-11-08,P-012160,T-04,STEAM,completed,40.1161,12.0348,28.0813
ORD-0000231,2024-10-09,2024-11-23,P-012944,T-04,PSN,completed,40.0941,12.0282,28.0658
ORD-0000232,2024-10-09,2024-11-08,P-023044,T-04,STEAM,completed,10.5283,3.1585,7.3698
ORD-0000233,2024-10-09,2024-11-08,P-008845,T-04,STEAM,completed,5.003,1.5009,3.5021
ORD-0000234,2024-10-09,2024-11-08,P-012581,T-04,EPIC,completed,30.0918,3.611,26.4808
ORD-0000236,2024-10-09,2024-11-23,P-016676,T-04,XBOX,completed,30.202,9.0606,21.1414
ORD-0000237,2024-10-09,2024-11-08,P-018902,T-04,STEAM,completed,30.0781,9.0234,21.0547
ORD-0000238,2024-10-09,2024-11-23,P-017672,T-04,PSN,completed,40.0941,12.0282,28.0658
ORD-0000239,2024-10-09,2024-11-08,P-026194,T-04,STEAM,completed,30.585,9.1755,21.4095
ORD-0000240,2024-10-09,2024-11-08,P-027535,T-04,STEAM,completed,5.003,1.5009,3.5021
ORD-0000241,2024-10-09,2024-11-23,P-009608,T-04,XBOX,completed,10.0606,3.0182,7.0424
ORD-0000242,2024-10-09,2024-12-08,P-001758,T-04,NSW,completed,29.7743,8.9323,20.842
ORD-0000244,2024-10-09,2024-11-08,P-026996,T-04,STEAM,completed,30.0781,9.0234,21.0547
ORD-0000245,2024-10-09,2024-11-23,P-017959,T-04,PSN,completed,35.0811,10.5243,24.5567
ORD-0000246,2024-10-09,2024-11-08,P-018757,T-04,STEAM,completed,10.016,3.0048,7.0112
ORD-0000247,2024-10-09,2024-11-08,P-043635,T-04,STEAM,refunded,35.0811,10.5243,24.5567
ORD-0000248,2024-10-09,2024-11-08,P-029393,T-04,EPIC,completed,40.6064,4.8728,35.7336
ORD-0000249,2024-10-09,2024-11-08,P-020438,T-04,STEAM,completed,10.48,3.144,7.336
ORD-0000250,2024-10-09,2024-11-08,P-021221,T-04,STEAM,completed,10.4231,3.1269,7.2962
ORD-0000251,2024-10-09,2024-12-08,P-025823,T-04,NSW,completed,19.8317,5.9495,13.8822
ORD-0000252,2024-10-09,2024-11-08,P-007469,T-04,STEAM,completed,10.0606,3.0182,7.0424
ORD-0000253,2024-10-09,2024-11-08,P-020899,T-04,EPIC,completed,30.0781,3.6094,26.4687
ORD-0000254,2024-10-09,2024-12-08,P-042983,T-04,NSW,completed,9.9212,2.9764,6.9448
ORD-0000255,2024-10-09,2024-11-08,P-018488,T-04,STEAM,completed,9.9212,2.9764,6.9448
ORD-0000256,2024-10-09,2024-11-23,P-044190,T-04,XBOX,refunded,15.3784,4.6135,10.7649
ORD-0000257,2024-10-09,2024-11-23,P-004535,T-04,PSN,completed,40.0941,12.0282,28.0658
ORD-0000258,2024-10-09,2024-11-08,P-030973,T-04,STEAM,completed,10.016,3.0048,7.0112
ORD-0000259,2024-10-09,2024-12-08,P-012178,T-04,NSW,completed,5.003,1.5009,3.5021
ORD-0000260,2024-10-09,2024-12-08,P-004142,T-04,NSW,completed,70.1721,21.0516,49.1205
ORD-0000261,2024-10-09,2024-11-08,P-042499,T-04,EPIC,completed,9.9212,1.1905,8.7306
ORD-0000262,2024-10-09,2024-11-23,P-000384,T-04,XBOX,completed,15.0189,4.5057,10.5133
ORD-0000263,2024-10-09,2024-11-08,P-029185,T-04,STEAM,completed,40.1161,12.0348,28.0813
