refund_id,order_id,refund_date,order_date,title_id,platform_code,player_id,refund_reason,refund_usd,platform_fee_credit_usd,net_refund_usd
RFD-000016,ORD-0000189,2024-10-21,2024-10-07,T-04,STEAM,P-034140,player_request,4.9757,1.4927,3.483
RFD-000017,ORD-0000236,2024-10-17,2024-10-09,T-04,XBOX,P-016676,partial_goodwill,15.101,4.5303,10.5707
RFD-000018,ORD-0000247,2024-11-11,2024-10-09,T-04,STEAM,P-043635,accidental_purchase,35.0811,10.5243,24.5567
RFD-000019,ORD-0000250,2024-10-12,2024-10-09,T-04,STEAM,P-021221,price_adjustment,2.6058,0.7817,1.824
RFD-000020,ORD-0000256,2024-10-30,2024-10-09,T-04,XBOX,P-044190,accidental_purchase,15.3784,4.6135,10.7649
RFD-000021,ORD-0000265,2024-10-27,2024-10-10,T-04,NSW,P-030335,partial_goodwill,30.229,9.0687,21.1603
RFD-000022,ORD-0000273,2024-10-27,2024-10-10,T-04,XBOX,P-008940,price_adjustment,2.5102,0.7531,1.7571
RFD-000023,ORD-0000344,2024-10-19,2024-10-11,T-04,XBOX,P-014572,price_adjustment,3.2632,0.9789,2.2842
RFD-000024,ORD-0000349,2024-10-25,2024-10-11,T-04,STEAM,P-044934,player_request,5.0043,1.5013,3.503
RFD-000025,ORD-0000366,2024-11-10,2024-10-12,T-04,EPIC,P-022981,price_adjustment,9.9283,1.1914,8.7369
RFD-000026,ORD-0000400,2024-10-30,2024-10-13,T-04,NSW,P-015479,partial_goodwill,20.3088,6.0926,14.2162
RFD-000027,ORD-0000413,2024-10-22,2024-10-13,T-04,PSN,P-000865,platform_policy,21.1073,6.3322,14.7751
RFD-000028,ORD-0000427,2024-10-16,2024-10-14,T-04,STEAM,P-040242,platform_policy,5.0136,1.5041,3.5095
RFD-000029,ORD-0000437,2024-10-16,2024-10-14,T-04,STEAM,P-012547,platform_policy,10.4409,3.1323,7.3086
RFD-000030,ORD-0000468,2024-11-01,2024-10-15,T-04,STEAM,P-013722,partial_goodwill,2.5034,0.751,1.7524
RFD-000031,ORD-0000469,2024-10-20,2024-10-15,T-04,STEAM,P-012985,player_request,34.8714,10.4614,24.41
RFD-000032,ORD-0000470,2024-11-13,2024-10-15,T-04,STEAM,P-034736,price_adjustment,1.2562,0.3769,0.8793
RFD-000033,ORD-0000507,2024-10-30,2024-10-16,T-04,EPIC,P-006811,platform_policy,10.0696,1.2084,8.8613
RFD-000034,ORD-0000533,2024-10-20,2024-10-17,T-04,STEAM,P-011466,price_adjustment,3.3176,0.9953,2.3223
RFD-000035,ORD-0000540,2024-10-26,2024-10-17,T-04,STEAM,P-019044,accidental_purchase,40.1548,12.0464,28.1083
RFD-000036,ORD-0000546,2024-10-25,2024-10-17,T-04,EPIC,P-002178,partial_goodwill,5.1609,0.6193,4.5416
RFD-000037,ORD-0000548,2024-11-26,2024-10-17,T-04,STEAM,P-009856,price_adjustment,5.2832,1.585,3.6983
RFD-000038,ORD-0000606,2024-11-06,2024-10-20,T-04,EPIC,P-019865,price_adjustment,2.4946,0.2994,2.1953
RFD-000039,ORD-0000608,2024-10-23,2024-10-20,T-04,STEAM,P-005825,price_adjustment,7.4946,2.2484,5.2462
RFD-000040,ORD-0000612,2024-10-23,2024-10-20,T-04,STEAM,P-006661,partial_goodwill,7.7992,2.3398,5.4595
RFD-000041,ORD-0000619,2024-11-03,2024-10-20,T-04,STEAM,P-016056,platform_policy,4.9114,1.4734,3.438
RFD-000042,ORD-0000633,2024-10-29,2024-10-20,T-04,PSN,P-026162,platform_policy,10.0492,3.0148,7.0344
RFD-000043,ORD-0000634,2024-11-06,2024-10-20,T-04,EPIC,P-027870,price_adjustment,1.6203,0.1944,1.4258
RFD-000044,ORD-0000646,2024-10-28,2024-10-20,T-04,PSN,P-003350,partial_goodwill,13.1935,3.9581,9.2355
RFD-000045,ORD-0000663,2024-11-19,2024-10-21,T-04,STEAM,P-029515,price_adjustment,2.499,0.7497,1.7493
RFD-000046,ORD-0000675,2024-11-04,2024-10-21,T-04,STEAM,P-020119,player_request,20.1152,6.0346,14.0806
RFD-000047,ORD-0000703,2024-11-20,2024-10-22,T-04,PSN,P-003136,partial_goodwill,5.2455,1.5737,3.6719
RFD-000048,ORD-0000715,2024-11-20,2024-10-22,T-04,XBOX,P-019928,price_adjustment,7.545,2.2635,5.2815
RFD-000049,ORD-0000718,2024-11-05,2024-10-22,T-04,STEAM,P-038904,accidental_purchase,9.9805,2.9941,6.9863
RFD-000050,ORD-0000719,2024-11-24,2024-10-22,T-04,NSW,P-022354,accidental_purchase,39.9519,11.9856,27.9663
RFD-000051,ORD-0000779,2024-10-28,2024-10-25,T-04,EPIC,P-020214,partial_goodwill,13.2835,1.594,11.6895
RFD-000052,ORD-0000797,2024-11-15,2024-10-25,T-04,STEAM,P-017585,platform_policy,9.9002,2.9701,6.9301
RFD-000053,ORD-0000830,2024-11-24,2024-10-26,T-04,XBOX,P-040117,price_adjustment,9.8108,2.9432,6.8676
RFD-000054,ORD-0000839,2024-12-05,2024-10-26,T-04,STEAM,P-023763,price_adjustment,3.2128,0.9639,2.249
RFD-000055,ORD-0000847,2024-11-12,2024-10-26,T-04,NSW,P-013170,price_adjustment,1.6285,0.4886,1.14
RFD-000056,ORD-0000887,2024-11-25,2024-10-27,T-04,XBOX,P-012890,price_adjustment,14.8652,4.4595,10.4056
RFD-000057,ORD-0000892,2024-12-06,2024-10-27,T-04,XBOX,P-033319,price_adjustment,9.8108,2.9432,6.8676
RFD-000058,ORD-0000898,2024-11-01,2024-10-27,T-04,STEAM,P-000955,player_request,15.3517,4.6055,10.7462
RFD-000059,ORD-0000920,2024-12-06,2024-10-27,T-04,PSN,P-040620,partial_goodwill,3.489,1.0467,2.4423
RFD-000060,ORD-0000926,2024-10-31,2024-10-28,T-04,STEAM,P-014423,partial_goodwill,14.807,4.4421,10.3649
RFD-000061,ORD-0000928,2024-11-18,2024-10-28,T-04,PSN,P-040350,accidental_purchase,34.5178,10.3554,24.1625
RFD-000062,ORD-0000955,2024-11-27,2024-10-29,T-04,STEAM,P-013935,price_adjustment,29.6755,8.9027,20.7729
RFD-000063,ORD-0000958,2024-11-03,2024-10-29,T-04,STEAM,P-038654,player_request,29.6755,8.9027,20.7729
RFD-000064,ORD-0000959,2024-12-08,2024-10-29,T-04,PSN,P-039503,partial_goodwill,7.304,2.1912,5.1128
RFD-000065,ORD-0000962,2024-11-01,2024-10-29,T-04,STEAM,P-003904,price_adjustment,4.9459,1.4838,3.4621
RFD-000066,ORD-0000966,2024-12-08,2024-10-29,T-04,NSW,P-000074,price_adjustment,6.6904,2.0071,4.6833
RFD-000067,ORD-0001004,2024-12-09,2024-10-30,T-04,STEAM,P-003976,partial_goodwill,9.7874,2.9362,6.8512
RFD-000068,ORD-0001008,2024-11-08,2024-10-30,T-04,XBOX,P-012814,platform_policy,25.1817,7.5545,17.6272
RFD-000069,ORD-0001034,2024-11-09,2024-10-31,T-04,PSN,P-011914,platform_policy,29.7247,8.9174,20.8073
RFD-000070,ORD-0001041,2024-11-02,2024-10-31,T-04,STEAM,P-035151,player_request,10.5537,3.1661,7.3876
RFD-000071,ORD-0001046,2024-12-03,2024-10-31,T-04,PSN,P-023033,accidental_purchase,40.7708,12.2312,28.5395
RFD-000072,ORD-0001065,2024-11-17,2024-10-31,T-04,STEAM,P-028587,partial_goodwill,14.7501,4.425,10.3251
RFD-000073,ORD-0001078,2024-11-09,2024-11-01,T-04,XBOX,P-014742,price_adjustment,2.4816,0.7445,1.7371
RFD-000074,ORD-0001105,2024-12-11,2024-11-01,T-04,STEAM,P-013581,price_adjustment,14.5136,4.3541,10.1595
RFD-000075,ORD-0001141,2024-12-01,2024-11-02,T-04,PSN,P-013290,partial_goodwill,6.782,2.0346,4.7474
RFD-000076,ORD-0001143,2024-12-12,2024-11-02,T-04,STEAM,P-011276,price_adjustment,8.8167,2.645,6.1717
RFD-000077,ORD-0001172,2024-11-11,2024-11-02,T-04,NSW,P-016480,platform_policy,10.02,3.006,7.014
RFD-000078,ORD-0001192,2024-12-21,2024-11-03,T-04,PSN,P-015157,accidental_purchase,29.8387,8.9516,20.8871
RFD-000079,ORD-0001207,2024-11-20,2024-11-03,T-04,NSW,P-022420,price_adjustment,6.2557,1.8767,4.379
RFD-000080,ORD-0001212,2024-11-17,2024-11-03,T-04,STEAM,P-040641,accidental_purchase,10.02,3.006,7.014
RFD-000081,ORD-0001224,2024-12-22,2024-11-04,T-04,XBOX,P-019097,platform_policy,29.7769,8.9331,20.8438
RFD-000082,ORD-0001229,2024-12-03,2024-11-04,T-04,NSW,P-026500,price_adjustment,9.8262,2.9479,6.8783
RFD-000083,ORD-0001233,2024-11-18,2024-11-04,T-04,NSW,P-031060,accidental_purchase,30.1095,9.0329,21.0767
RFD-000084,ORD-0001243,2024-11-21,2024-11-04,T-04,STEAM,P-024130,price_adjustment,7.3621,2.2086,5.1535
RFD-000085,ORD-0001260,2024-11-06,2024-11-04,T-04,XBOX,P-001859,platform_policy,10.5773,3.1732,7.4041
RFD-000086,ORD-0001262,2024-11-19,2024-11-05,T-04,EPIC,P-003817,platform_policy,4.8973,0.5877,4.3096
RFD-000087,ORD-0001266,2024-11-08,2024-11-05,T-04,STEAM,P-006466,partial_goodwill,6.7963,2.0389,4.7574
RFD-000088,ORD-0001288,2024-12-23,2024-11-05,T-04,XBOX,P-038728,accidental_purchase,59.6627,17.8988,41.7639
RFD-000089,ORD-0001289,2024-11-07,2024-11-05,T-04,XBOX,P-040664,platform_policy,29.426,8.8278,20.5982
RFD-000090,ORD-0001300,2024-11-08,2024-11-05,T-04,STEAM,P-042570,price_adjustment,14.9157,4.4747,10.441
RFD-000091,ORD-0001305,2024-12-15,2024-11-05,T-04,PSN,P-007555,partial_goodwill,2.6105,0.7831,1.8273
RFD-000092,ORD-0001337,2024-12-05,2024-11-06,T-04,STEAM,P-030475,partial_goodwill,3.7221,1.1166,2.6055
RFD-000093,ORD-0001338,2024-11-23,2024-11-06,T-04,EPIC,P-026169,partial_goodwill,7.4541,0.8945,6.5596
RFD-000094,ORD-0001357,2024-11-14,2024-11-06,T-04,STEAM,P-037343,price_adjustment,10.01,3.003,7.007
RFD-000095,ORD-0001382,2024-11-10,2024-11-07,T-04,PSN,P-015807,partial_goodwill,9.9159,2.9748,6.9412
RFD-000096,ORD-0001405,2024-11-22,2024-11-08,T-04,EPIC,P-029250,accidental_purchase,5.0248,0.603,4.4218
RFD-000097,ORD-0001407,2024-12-07,2024-11-08,T-04,STEAM,P-043829,price_adjustment,9.7943,2.9383,6.856
RFD-000098,ORD-0001422,2024-11-13,2024-11-08,T-04,STEAM,P-020520,player_request,4.9779,1.4934,3.4845
RFD-000099,ORD-0001484,2024-11-15,2024-11-10,T-04,NSW,P-023348,platform_policy,30.0306,9.0092,21.0214
RFD-000100,ORD-0001494,2024-12-20,2024-11-10,T-04,STEAM,P-039834,partial_goodwill,5.0267,1.508,3.5187
RFD-000101,ORD-0001496,2024-12-09,2024-11-10,T-04,EPIC,P-044592,price_adjustment,14.6967,1.7636,12.9331
RFD-000102,ORD-0001498,2024-11-18,2024-11-10,T-04,XBOX,P-014909,partial_goodwill,9.6994,2.9098,6.7896
RFD-000103,ORD-0001501,2024-11-27,2024-11-10,T-04,STEAM,P-028153,partial_goodwill,4.9879,1.4964,3.4915
RFD-000104,ORD-0001538,2024-11-13,2024-11-10,T-04,EPIC,P-035581,partial_goodwill,4.9779,0.5973,4.3805
RFD-000105,ORD-0001539,2024-12-20,2024-11-10,T-04,STEAM,P-039098,partial_goodwill,29.9272,8.9781,20.949
RFD-000106,ORD-0001545,2024-12-21,2024-11-11,T-04,NSW,P-003363,price_adjustment,2.455,0.7365,1.7185
RFD-000107,ORD-0001554,2024-11-13,2024-11-11,T-04,PSN,P-010637,accidental_purchase,14.914,4.4742,10.4398
RFD-000108,ORD-0001557,2024-11-14,2024-11-11,T-04,PSN,P-005192,partial_goodwill,1.2405,0.3722,0.8684
RFD-000109,ORD-0001566,2025-01-21,2024-11-11,T-04,EPIC,P-033173,player_request,9.936,1.1923,8.7437
RFD-000110,ORD-0001584,2024-11-28,2024-11-11,T-04,STEAM,P-018937,price_adjustment,2.4412,0.7324,1.7088
RFD-000111,ORD-0001593,2024-12-10,2024-11-11,T-04,STEAM,P-037191,price_adjustment,34.2519,10.2756,23.9763
RFD-000112,ORD-0001609,2024-11-25,2024-11-11,T-04,PSN,P-023598,player_request,10.4548,3.1364,7.3183
RFD-000113,ORD-0001626,2024-12-22,2024-11-12,T-04,XBOX,P-028616,partial_goodwill,20.1016,6.0305,14.0711
RFD-000114,ORD-0001629,2024-11-20,2024-11-12,T-04,NSW,P-028545,price_adjustment,1.6084,0.4825,1.1259
RFD-000115,ORD-0001640,2024-12-22,2024-11-12,T-04,NSW,P-017277,partial_goodwill,4.9211,1.4763,3.4448
RFD-000116,ORD-0001650,2024-12-11,2024-11-12,T-04,STEAM,P-018138,price_adjustment,3.2723,0.9817,2.2906
RFD-000117,ORD-0001656,2024-11-20,2024-11-12,T-04,STEAM,P-004797,price_adjustment,3.4414,1.0324,2.409
RFD-000118,ORD-0001685,2024-12-23,2024-11-13,T-04,STEAM,P-009991,price_adjustment,9.8537,2.9561,6.8976
RFD-000119,ORD-0001688,2024-11-21,2024-11-13,T-04,STEAM,P-013696,price_adjustment,11.3713,3.4114,7.9599
RFD-000120,ORD-0001695,2024-11-30,2024-11-13,T-04,STEAM,P-043953,price_adjustment,9.9535,2.986,6.9674
RFD-000121,ORD-0001700,2024-11-21,2024-11-13,T-04,STEAM,P-030276,partial_goodwill,1.6356,0.4907,1.1449
RFD-000122,ORD-0001709,2024-11-21,2024-11-13,T-04,PSN,P-009870,partial_goodwill,2.4834,0.745,1.7384
RFD-000123,ORD-0001717,2025-01-24,2024-11-14,T-01,NSW,P-015165,accidental_purchase,4.9904,1.4971,3.4933
RFD-000124,ORD-0001726,2024-12-13,2024-11-14,T-01,PSN,P-031888,partial_goodwill,8.7514,2.6254,6.126
RFD-000125,ORD-0001735,2024-11-19,2024-11-14,T-01,STEAM,P-004960,accidental_purchase,99.9858,29.9957,69.99
RFD-000126,ORD-0001760,2025-01-24,2024-11-14,T-01,PSN,P-009258,accidental_purchase,49.99,14.997,34.993
RFD-000127,ORD-0001763,2024-12-01,2024-11-14,T-01,STEAM,P-007809,partial_goodwill,29.9924,8.9977,20.9947
RFD-000128,ORD-0001776,2024-12-14,2024-11-15,T-01,STEAM,P-041152,partial_goodwill,1.6451,0.4935,1.1516
RFD-000129,ORD-0001777,2024-12-14,2024-11-15,T-01,STEAM,P-001436,partial_goodwill,12.4836,3.7451,8.7386
RFD-000130,ORD-0001797,2024-11-18,2024-11-15,T-01,STEAM,P-037520,price_adjustment,3.2925,0.9878,2.3048
RFD-000131,ORD-0001798,2024-12-06,2024-11-15,T-04,STEAM,P-016012,platform_policy,59.5634,17.869,41.6944
RFD-000132,ORD-0001804,2025-01-02,2024-11-15,T-01,STEAM,P-042682,accidental_purchase,59.8917,17.9675,41.9242
RFD-000133,ORD-0001834,2024-12-18,2024-11-15,T-01,STEAM,P-013858,accidental_purchase,19.987,5.9961,13.9909
RFD-000134,ORD-0001841,2024-11-18,2024-11-15,T-01,PSN,P-006311,partial_goodwill,4.9965,1.4989,3.4975
RFD-000135,ORD-0001857,2024-12-19,2024-11-16,T-04,STEAM,P-024802,accidental_purchase,14.871,4.4613,10.4097
RFD-000136,ORD-0001869,2024-12-15,2024-11-16,T-04,STEAM,P-025892,price_adjustment,3.2873,0.9862,2.3011
RFD-000137,ORD-0001872,2024-11-25,2024-11-16,T-01,NSW,P-042890,platform_policy,9.9935,2.9981,6.9955
RFD-000138,ORD-0001891,2024-11-19,2024-11-16,T-01,STEAM,P-015305,price_adjustment,8.7562,2.6269,6.1294
RFD-000139,ORD-0001910,2024-12-01,2024-11-17,T-01,STEAM,P-006597,player_request,9.9935,2.9981,6.9955
RFD-000140,ORD-0001916,2024-12-16,2024-11-17,T-01,STEAM,P-030573,partial_goodwill,2.4957,0.7487,1.747
RFD-000141,ORD-0001928,2025-01-27,2024-11-17,T-04,XBOX,P-001248,accidental_purchase,29.9247,8.9774,20.9473
RFD-000142,ORD-0001940,2024-11-25,2024-11-17,T-04,STEAM,P-038026,price_adjustment,14.7418,4.4225,10.3192
RFD-000143,ORD-0001955,2024-12-08,2024-11-17,T-01,PSN,P-015837,player_request,27.3806,8.2142,19.1664
RFD-000144,ORD-0001956,2024-12-20,2024-11-17,T-01,PSN,P-031940,player_request,9.977,2.9931,6.9839
RFD-000145,ORD-0001957,2024-12-08,2024-11-17,T-04,EPIC,P-006622,accidental_purchase,4.9797,0.5976,4.3821
RFD-000146,ORD-0001964,2024-12-20,2024-11-17,T-01,STEAM,P-025132,platform_policy,59.9982,17.9995,41.9987
RFD-000147,ORD-0001966,2024-11-25,2024-11-17,T-01,PSN,P-043701,partial_goodwill,4.3781,1.3134,3.0647
RFD-000148,ORD-0002003,2024-12-05,2024-11-18,T-01,STEAM,P-026988,partial_goodwill,3.3098,0.9929,2.3168
RFD-000149,ORD-0002052,2024-12-22,2024-11-19,T-01,STEAM,P-042985,platform_policy,49.2842,14.7853,34.499
RFD-000150,ORD-0002055,2024-12-06,2024-11-19,T-04,STEAM,P-044490,partial_goodwill,13.1976,3.9593,9.2383
RFD-000151,ORD-0002058,2024-12-22,2024-11-19,T-01,XBOX,P-004939,accidental_purchase,110.3029,33.0909,77.212
RFD-000152,ORD-0002090,2024-11-23,2024-11-20,T-01,PSN,P-008645,price_adjustment,33.8335,10.15,23.6834
RFD-000153,ORD-0002132,2024-11-29,2024-11-21,T-01,NSW,P-021416,partial_goodwill,5.7727,1.7318,4.0409
RFD-000154,ORD-0002134,2024-11-24,2024-11-21,T-01,XBOX,P-015315,price_adjustment,3.3194,0.9958,2.3235
RFD-000155,ORD-0002149,2024-12-20,2024-11-21,T-01,EPIC,P-042960,price_adjustment,3.3194,0.3983,2.921
RFD-000156,ORD-0002152,2024-11-24,2024-11-21,T-04,STEAM,P-023152,partial_goodwill,3.2745,0.9824,2.2922
RFD-000157,ORD-0002157,2024-12-20,2024-11-21,T-04,STEAM,P-008059,partial_goodwill,14.8212,4.4464,10.3749
RFD-000158,ORD-0002178,2024-11-25,2024-11-22,T-01,XBOX,P-015100,partial_goodwill,2.5127,0.7538,1.7589
RFD-000159,ORD-0002228,2024-12-09,2024-11-22,T-01,NSW,P-017631,price_adjustment,25.18,7.554,17.626
RFD-000160,ORD-0002268,2025-01-10,2024-11-23,T-01,STEAM,P-043736,platform_policy,9.9471,2.9841,6.9629
RFD-000161,ORD-0002311,2024-12-03,2024-11-24,T-01,PSN,P-012446,platform_policy,60.4107,18.1232,42.2875
RFD-000162,ORD-0002314,2025-02-03,2024-11-24,T-01,XBOX,P-017310,accidental_purchase,4.9848,1.4954,3.4893
RFD-000163,ORD-0002333,2024-12-11,2024-11-24,T-01,PSN,P-009140,partial_goodwill,7.5134,2.254,5.2594
RFD-000164,ORD-0002345,2025-01-03,2024-11-24,T-01,XBOX,P-035377,partial_goodwill,5.7708,1.7312,4.0396
RFD-000165,ORD-0002382,2024-12-02,2024-11-24,T-04,PSN,P-006351,partial_goodwill,2.4775,0.7432,1.7342
RFD-000166,ORD-0002384,2024-11-27,2024-11-25,T-01,STEAM,P-007863,platform_policy,10.0417,3.0125,7.0292
RFD-000167,ORD-0002386,2024-12-12,2024-11-25,T-01,EPIC,P-038132,partial_goodwill,12.5116,1.5014,11.0102
RFD-000168,ORD-0002392,2024-12-24,2024-11-25,T-01,STEAM,P-034751,partial_goodwill,25.0131,7.5039,17.5092
RFD-000169,ORD-0002400,2024-12-28,2024-11-25,T-04,PSN,P-000949,player_request,29.8483,8.9545,20.8938
RFD-000170,ORD-0002403,2024-12-12,2024-11-25,T-01,PSN,P-003353,partial_goodwill,5.0155,1.5047,3.5109
RFD-000171,ORD-0002414,2025-02-04,2024-11-25,T-01,STEAM,P-032353,platform_policy,50.2617,15.0785,35.1832
RFD-000172,ORD-0002428,2025-01-04,2024-11-25,T-01,PSN,P-003121,price_adjustment,2.4398,0.7319,1.7079
RFD-000173,ORD-0002444,2024-11-29,2024-11-26,T-01,STEAM,P-026875,price_adjustment,12.5094,3.7528,8.7566
RFD-000174,ORD-0002466,2025-01-13,2024-11-26,T-01,STEAM,P-028710,platform_policy,48.8074,14.6422,34.1652
RFD-000175,ORD-0002481,2025-01-05,2024-11-26,T-01,STEAM,P-012433,partial_goodwill,10.9796,3.2939,7.6857
RFD-000176,ORD-0002490,2025-01-05,2024-11-26,T-01,PSN,P-010012,partial_goodwill,32.2122,9.6637,22.5485
RFD-000177,ORD-0002511,2024-12-05,2024-11-27,T-04,EPIC,P-013353,partial_goodwill,14.8497,1.782,13.0677
RFD-000178,ORD-0002521,2025-02-06,2024-11-27,T-01,PSN,P-004020,player_request,9.9494,2.9848,6.9646
RFD-000179,ORD-0002530,2024-12-18,2024-11-27,T-04,XBOX,P-025669,platform_policy,34.6394,10.3918,24.2476
RFD-000180,ORD-0002590,2024-12-02,2024-11-29,T-01,EPIC,P-007611,partial_goodwill,1.2455,0.1495,1.0961
RFD-000181,ORD-0002665,2024-12-17,2024-11-30,T-01,PSN,P-043847,price_adjustment,2.501,0.7503,1.7507
RFD-000182,ORD-0002673,2024-12-29,2024-11-30,T-01,EPIC,P-016484,price_adjustment,2.491,0.2989,2.1921
RFD-000183,ORD-0002678,2024-12-03,2024-11-30,T-01,STEAM,P-024588,partial_goodwill,3.2208,0.9663,2.2546
RFD-000184,ORD-0002684,2024-12-02,2024-11-30,T-01,PSN,P-020132,platform_policy,4.8753,1.4626,3.4127
RFD-000185,ORD-0002686,2024-12-08,2024-11-30,T-01,PSN,P-016986,price_adjustment,3.3135,0.9941,2.3195
RFD-000186,ORD-0002690,2024-12-21,2024-11-30,T-01,STEAM,P-007984,platform_policy,49.964,14.9892,34.9748
RFD-000187,ORD-0002697,2024-12-29,2024-11-30,T-04,XBOX,P-008024,price_adjustment,7.4023,2.2207,5.1816
RFD-000188,ORD-0002715,2025-01-02,2024-11-30,T-01,XBOX,P-030769,platform_policy,5.0127,1.5038,3.5089
RFD-000189,ORD-0002757,2024-12-15,2024-12-01,T-01,PSN,P-004057,platform_policy,67.8206,20.3462,47.4744
RFD-000190,ORD-0002760,2025-01-10,2024-12-01,T-04,STEAM,P-032516,price_adjustment,9.7374,2.9212,6.8162
RFD-000191,ORD-0002781,2024-12-03,2024-12-01,T-01,EPIC,P-044957,player_request,50.2335,6.028,44.2055
RFD-000192,ORD-0002794,2025-02-10,2024-12-01,T-01,STEAM,P-009421,player_request,9.9941,2.9982,6.9959
RFD-000193,ORD-0002809,2024-12-04,2024-12-01,T-01,STEAM,P-007083,partial_goodwill,24.9757,7.4927,17.483
RFD-000194,ORD-0002818,2024-12-22,2024-12-01,T-01,STEAM,P-023727,accidental_purchase,117.5277,35.2583,82.2694
RFD-000195,ORD-0002836,2024-12-05,2024-12-02,T-04,STEAM,P-003363,partial_goodwill,7.4202,2.226,5.1941
RFD-000196,ORD-0002851,2024-12-05,2024-12-02,T-01,STEAM,P-042974,partial_goodwill,38.9693,11.6908,27.2785
RFD-000197,ORD-0002854,2024-12-19,2024-12-02,T-01,STEAM,P-016412,price_adjustment,4.3978,1.3193,3.0785
RFD-000198,ORD-0002885,2024-12-11,2024-12-03,T-01,STEAM,P-023552,price_adjustment,12.4962,3.7489,8.7473
RFD-000199,ORD-0002900,2024-12-20,2024-12-03,T-04,XBOX,P-028603,price_adjustment,3.462,1.0386,2.4234
RFD-000200,ORD-0002916,2024-12-06,2024-12-03,T-01,STEAM,P-033243,partial_goodwill,4.9494,1.4848,3.4646
RFD-000201,ORD-0002924,2024-12-12,2024-12-04,T-01,EPIC,P-017619,price_adjustment,1.645,0.1974,1.4476
RFD-000202,ORD-0002940,2024-12-13,2024-12-04,T-01,PSN,P-014679,accidental_purchase,96.9866,29.096,67.8906
RFD-000203,ORD-0002946,2024-12-13,2024-12-04,T-01,NSW,P-011507,platform_policy,60.0294,18.0088,42.0206
RFD-000204,ORD-0002963,2025-01-06,2024-12-04,T-01,XBOX,P-011243,player_request,9.691,2.9073,6.7837
RFD-000205,ORD-0002974,2024-12-07,2024-12-04,T-01,EPIC,P-042512,partial_goodwill,2.5025,0.3003,2.2022
RFD-000206,ORD-0002981,2025-01-21,2024-12-04,T-01,PSN,P-035016,player_request,9.6819,2.9046,6.7773
RFD-000207,ORD-0002992,2024-12-07,2024-12-05,T-01,PSN,P-026646,accidental_purchase,151.8917,45.5675,106.3242
RFD-000208,ORD-0003002,2024-12-13,2024-12-05,T-01,PSN,P-037167,partial_goodwill,30.0743,9.0223,21.052
RFD-000209,ORD-0003005,2025-01-07,2024-12-05,T-01,STEAM,P-022910,player_request,65.3673,19.6102,45.7571
RFD-000210,ORD-0003008,2024-12-22,2024-12-05,T-04,XBOX,P-014747,price_adjustment,2.487,0.7461,1.7409
RFD-000211,ORD-0003034,2024-12-13,2024-12-05,T-01,STEAM,P-037516,price_adjustment,16.9199,5.076,11.8439
RFD-000212,ORD-0003046,2025-01-04,2024-12-06,T-01,STEAM,P-013815,price_adjustment,1.6736,0.5021,1.1715
RFD-000213,ORD-0003061,2024-12-23,2024-12-06,T-01,STEAM,P-001024,partial_goodwill,15.0453,4.5136,10.5317
RFD-000214,ORD-0003073,2025-01-04,2024-12-06,T-01,PSN,P-006682,price_adjustment,4.9878,1.4963,3.4915
RFD-000215,ORD-0003097,2025-02-15,2024-12-06,T-01,EPIC,P-028182,player_request,10.0169,1.202,8.8149
